email,gender,uid,birthdate,height,weight
HOZh97aWg6@post.com,F,3174DDBBCE961554,1969-12-24,180,70
RpotaioOg@engineer.com,O,CB8BE6285BA04888,1985-04-09,188,110
nkTLbDeQkDbQ1F@usa.com,M,3880F9180C932008,1975-01-23,180,51
iiDGcMU@accountant.com,F,A2707AB1B98C691F,1983-11-17,179,69
Z4jdpgnDv@cheerful.com,M,0DBAEFD0FA3C8040,1982-11-01,161,49
Dodq3YOuMvsY@cheerful.com,F,B07C97C8A8578C80,1981-07-27,154,69
jVnLKM5A2L@engineer.com,F,62A8F700B737A922,1983-02-03,173,82
o0AaidYdg6TEv@dr.com,M,D6B8096409875295,1967-12-14,177,67
XScKxPp@cheerful.com,M,6BF8683CBF7266C8,1987-11-17,182,109
3SmcA7Ief@techie.com,F,3BA5A631D7CD80DA,1988-12-23,196,99
v75PEnoWWhVA@myself.com,M,F386FCAC0F4DD6D4,1996-09-23,203,89
e6MZC7h3q1CCi@asia.com,F,AF21600E33E87AD4,1995-07-19,168,45
RbZcXJn@linuxmail.org,M,0B66FFB39CDA1CBC,1963-02-13,177,102
cl9mfNWkWS@contractor.net,M,C5CE5727DBCDE724,1984-09-25,176,106
PlicLfTPzmq4ZZ1@consultant.com,F,266DF78D169E3317,1997-01-31,170,37
ET8yVr4@iname.com,F,FC2F7F365C0029D1,1981-07-22,147,31
7CPlNK6980wiw355@post.com,F,7C0982565BBB5326,1991-06-29,164,69
nUm3hAB@engineer.com,F,4A2890CAFC684ED9,1981-06-15,175,80
bKeINOC00@writeme.com,M,34668D0B419C4793,1987-11-02,184,57
8CAk0kh@musician.org,F,0AF133F299BCDC91,1974-05-01,161,50
X7kIkjWs@post.com,F,EBAF739B0F061DB8,1991-01-23,179,91
0tSPm51HOO2O@financier.com,M,0D399CAEF475B6A2,1999-08-16,176,69
VO6rT8J@dr.com,M,2CD97291ABA98CEB,1993-04-23,126,45
FrpQYnpmdIJF7qV@iname.com,F,3B651377400091A3,1976-09-11,146,34
OtSzFJETgvMIz@contractor.net,F,DDA2D27D5B786796,1979-11-14,199,66
JqsK0qRWsQNY1@musician.org,F,21446FEBE41871CB,1979-05-31,161,81
6PJKponUGHYBw@workmail.com,F,BDC96A8F948E61A5,1964-01-09,178,89
oCwlQdKR5uWDm@dr.com,F,2D9B6547C6CD34FA,1967-10-30,160,57
